,Customer ID
178,14332.0
179,14333.0
180,14342.0
181,14345.0
182,14416.0
183,14421.0
184,14424.0
185,14427.0
186,14434.0
187,14477.0
188,14484.0
189,14494.0
190,14495.0
191,14501.0
192,14517.0
193,14518.0
194,14522.0
195,14528.0
196,14537.0
197,14538.0
198,14551.0
199,14555.0
200,14581.0
201,14582.0
202,14585.0
203,14624.0
204,14636.0
205,14638.0
206,14641.0
207,14642.0
208,14661.0
209,14666.0
210,14681.0
211,14703.0
212,14712.0
213,14714.0
214,14744.0
215,14752.0
216,14761.0
217,14764.0
218,14768.0
219,14780.0
220,14784.0
221,14789.0
222,14792.0
223,14798.0
224,14799.0
225,14819.0
226,14820.0
227,14851.0
228,14861.0
229,14863.0
230,14881.0
231,14882.0
232,14902.0
233,14912.0
234,14929.0
235,14946.0
236,14967.0
237,14974.0
238,14975.0
239,14987.0
240,14997.0
241,15010.0
242,15017.0
243,15030.0
244,15043.0
245,15096.0
246,15115.0
247,15121.0
248,15124.0
249,15127.0
250,15142.0
251,15153.0
252,15158.0
253,15163.0
254,15168.0
255,15175.0
256,15181.0
257,15185.0
258,15186.0
259,15193.0
260,15199.0
261,15264.0
262,15267.0
263,15269.0
264,15277.0
265,15286.0
266,15287.0
267,15299.0
268,15300.0
269,15304.0
270,15327.0
271,15330.0
272,15345.0
273,15355.0
274,15360.0
275,15368.0
276,15385.0
277,15393.0
278,15419.0
279,15423.0
280,15428.0
281,15432.0
282,15435.0
283,15458.0
284,15463.0
285,15468.0
286,15469.0
287,15473.0
288,15497.0
289,15516.0
290,15524.0
291,15526.0
292,15551.0
293,15557.0
294,15565.0
295,15567.0
296,15587.0
297,15592.0
298,15593.0
299,15597.0
300,15598.0
301,15604.0
302,15610.0
303,15612.0
304,15634.0
305,15637.0
306,15657.0
307,15659.0
308,15664.0
309,15667.0
310,15678.0
311,15692.0
312,15699.0
313,15728.0
314,15739.0
315,15740.0
316,15748.0
317,15754.0
318,15758.0
319,15766.0
320,15774.0
321,15781.0
322,15803.0
323,15836.0
324,15837.0
325,15840.0
326,15844.0
327,15847.0
328,15857.0
329,15863.0
330,15864.0
331,15886.0
332,15930.0
333,15937.0
334,15949.0
335,15963.0
336,15986.0
337,15988.0
338,16018.0
339,16025.0
340,16041.0
341,16071.0
342,16079.0
343,16104.0
344,16106.0
345,16123.0
346,16157.0
347,16160.0
348,16171.0
349,16177.0
350,16179.0
351,16183.0
352,16189.0
353,16190.0
354,16207.0
355,16233.0
356,16239.0
357,16248.0
358,16260.0
359,16278.0
360,16298.0
361,16308.0
362,16318.0
363,16325.0
364,16337.0
365,16352.0
366,16363.0
367,16366.0
368,16404.0
369,16414.0
370,16423.0
371,16430.0
372,16432.0
373,16433.0
374,16441.0
375,16454.0
376,16462.0
377,16478.0
378,16482.0
379,16505.0
380,16506.0
381,16516.0
382,16519.0
383,16532.0
384,16542.0
385,16555.0
386,16557.0
387,16563.0
388,16566.0
389,16574.0
390,16591.0
391,16593.0
392,16596.0
393,16621.0
394,16648.0
395,16650.0
396,16660.0
397,16668.0
398,16671.0
399,16680.0
400,16690.0
401,16708.0
402,16720.0
403,16732.0
404,16737.0
405,16742.0
406,16751.0
407,16758.0
408,16773.0
409,16784.0
410,16793.0
411,16803.0
412,16824.0
413,16825.0
414,16826.0
415,16830.0
416,16836.0
417,16846.0
418,16847.0
419,16848.0
420,16855.0
421,16856.0
422,16861.0
423,16863.0
424,16878.0
425,16881.0
426,16884.0
427,16909.0
428,16953.0
429,16982.0
430,16986.0
431,16999.0
432,17010.0
433,17011.0
434,17018.0
435,17022.0
436,17024.0
437,17025.0
438,17030.0
439,17038.0
440,17076.0
441,17078.0
442,17080.0
443,17133.0
444,17148.0
445,17153.0
446,17155.0
447,17163.0
448,17166.0
449,17181.0
450,17186.0
451,17190.0
452,17197.0
453,17205.0
454,17206.0
455,17219.0
456,17222.0
457,17233.0
458,17235.0
459,17253.0
460,17262.0
461,17274.0
462,17279.0
463,17313.0
464,17317.0
465,17330.0
466,17351.0
467,17354.0
468,17361.0
469,17376.0
470,17382.0
471,17384.0
472,17396.0
473,17414.0
474,17423.0
475,17427.0
476,17430.0
477,17453.0
478,17462.0
479,17483.0
480,17489.0
481,17500.0
482,17506.0
483,17510.0
484,17534.0
485,17538.0
486,17549.0
487,17572.0
488,17573.0
489,17600.0
490,17603.0
491,17620.0
492,17621.0
493,17647.0
494,17650.0
495,17680.0
496,17684.0
497,17712.0
498,17760.0
499,17761.0
500,17767.0
501,17785.0
502,17791.0
503,17816.0
504,17824.0
505,17831.0
506,17836.0
507,17878.0
508,17892.0
509,17895.0
510,17896.0
511,17901.0
512,17928.0
513,17934.0
514,17940.0
515,17947.0
516,17951.0
517,17973.0
518,17977.0
519,17985.0
520,17986.0
521,18006.0
522,18019.0
523,18040.0
524,18042.0
525,18053.0
526,18080.0
527,18081.0
528,18084.0
529,18105.0
530,18112.0
531,18135.0
532,18147.0
533,18149.0
534,18164.0
535,18169.0
536,18184.0
537,18194.0
538,18209.0
539,18216.0
540,18240.0
541,18246.0
542,18249.0
543,18261.0
544,18270.0
545,18274.0
546,18276.0
547,18277.0
